Timeframe,Open,High,Low,Close,Volume
1589803200000,8950.0,9020.0,8830.9,8853.27,37.409573
1589824800000,8862.55,9000.0,8853.27,8975.1,17.33944
1589846400000,9000.0,9000.0,8769.0,8865.55,20.51642
1589868000000,8865.17,9075.0,8820.97,8950.0,39.618672
1589889600000,8950.0,8965.35,8820.0,8905.74,29.908725
1589911200000,8904.3,8995.67,8880.6,8982.32,22.235456
1589932800000,8980.45,9000.0,8908.56,8963.19,9.801915
1589954400000,8961.89,9040.32,8900.0,8954.01,33.321476
1589976000000,8953.71,9010.0,8647.05,8811.01,107.340801
1589997600000,8816.27,8886.57,8753.25,8786.0,23.441487
1590019200000,8761.34,8808.58,8712.3,8774.28,17.958928
1590040800000,8774.28,8785.0,8507.67,8665.58,54.071518
1590062400000,8665.58,8686.13,8229.83,8264.0,88.98792
1590084000000,8269.22,8476.11,8109.94,8358.66,41.553155
1590105600000,8353.92,8431.47,8235.0,8358.0,14.342282
1590127200000,8375.28,8584.69,8332.94,8568.65,57.649836
1590148800000,8569.57,8615.99,8486.79,8555.08,71.70826
1590170400000,8570.41,8600.0,8470.79,8490.98,27.562446
1590192000000,8507.93,8633.19,8502.67,8589.74,7.752458
1590213600000,8598.37,8598.37,8450.44,8526.27,19.40127
1590235200000,8508.99,8550.0,8458.63,8514.35,7.908368
1590256800000,8514.8,8590.46,8476.83,8534.95,6.315541
1590278400000,8520.46,8550.0,8491.14,8544.08,3.187795
1590300000000,8539.03,8625.42,8450.0,8472.03,24.633823
1590321600000,8480.0,8537.81,8212.88,8293.46,41.317201
1590343200000,8284.67,8461.86,8109.94,8139.37,48.154888
1590364800000,8131.19,8221.87,8074.02,8133.87,23.35974
1590386400000,8141.54,8293.5,8090.34,8159.47,111.578213
1590408000000,8158.5,8300.0,8116.94,8296.12,60.560949
1590429600000,8271.66,8365.98,8240.0,8291.08,15.939926
1590451200000,8274.64,8313.63,8219.76,8313.63,6.486373
